trip_id,employee_id,dept,cost_center,travel_date,mode,origin,destination,carrier,class,nights,amount,currency
TRIP-2401-001,EMP-1234,Sales,CC-5001,2024-01-15,AIR,HYD,DEL,6E,ECONOMY,0,8500,INR
TRIP-2401-001,EMP-1234,Sales,CC-5001,2024-01-15,HOTEL,,,Hyatt Regency,,3,18000,INR
TRIP-2401-001,EMP-1234,Sales,CC-5001,2024-01-18,AIR,DEL,HYD,6E,ECONOMY,0,9200,INR
TRIP-2401-002,EMP-2345,Engineering,CC-5002,2024-01-22,AIR,BLR,BOM,UK,BUSINESS,0,22000,INR
TRIP-2401-002,EMP-2345,Engineering,CC-5002,2024-01-22,HOTEL,,,ITC Grand,,2,24000,INR
TRIP-2401-002,EMP-2345,Engineering,CC-5002,2024-01-24,CAR,,,,Uber,,0,1200,INR
TRIP-2401-002,EMP-2345,Engineering,CC-5002,2024-01-24,AIR,BOM,BLR,UK,BUSINESS,0,23500,INR
TRIP-2401-003,EMP-3456,Finance,CC-5003,2024-02-05,AIR,HYD,BLR,6E,Y,0,4500,INR
TRIP-2401-003,EMP-3456,Finance,CC-5003,2024-02-05,HOTEL,,,Lemon Tree,,1,5500,INR
TRIP-2401-003,EMP-3456,Finance,CC-5003,2024-02-06,AIR,BLR,HYD,6E,Y,0,4800,INR
TRIP-2401-004,EMP-4567,Operations,CC-5004,2024-02-12,AIR,,SIN,SQ,J,0,45000,INR
TRIP-2401-004,EMP-4567,Operations,CC-5004,2024-02-12,HOTEL,,,Marina Bay Sands,,4,72000,INR
TRIP-2401-004,EMP-4567,Operations,CC-5004,2024-02-16,AIR,SIN,HYD,SQ,J,0,48000,INR
TRIP-2401-005,EMP-5678,Marketing,CC-5005,2024-02-20,AIR,HYD,CCU,6E,ECONOMY,0,7200,INR
TRIP-2401-005,EMP-5678,Marketing,CC-5005,2024-02-22,AIR,CCU,HYD,6E,ECONOMY,0,7500,INR
TRIP-2401-006,EMP-6789,HR,CC-5006,2024-03-01,CAR,,,,Ola,,0,850,INR
TRIP-2401-007,EMP-7890,Legal,CC-5007,2024-03-08,AIR,BLR,AMD,AI,BUSINESS,0,18500,INR
TRIP-2401-007,EMP-7890,Legal,CC-5007,2024-03-08,HOTEL,,,Fortune Park,,2,11000,INR
TRIP-2401-007,EMP-7890,Legal,CC-5007,2024-03-10,AIR,AMD,BLR,AI,BUS,0,19200,INR
TRIP-2401-008,EMP-8901,Sales,CC-5001,2024-03-15,AIR,HYD,LHR,BA,PREMIUM,0,125000,INR
TRIP-2401-008,EMP-8901,Sales,CC-5001,2024-03-15,HOTEL,,,Hilton London,,5,95000,INR
TRIP-2401-008,EMP-8901,Sales,CC-5001,2024-03-20,AIR,LHR,HYD,BA,PREMIUM,0,132000,INR
