trip_id,employee_id,department,cost_center,expense_date,mode,origin,destination,cabin_class,amount_raw,currency
TRIP23770,EMP4122,Management,CC-200,2024-01-01,AIR,BOM,DEL,J,24830.09,INR
TRIP29628,EMP2714,Sales,CC-200,2024-01-03,AIR,BLR,BOM,Y,23637.8,INR
TRIP53681,EMP3095,Sales,CC-200,2024-01-05,AIR,BLR,BOM,Y,24714.02,INR
TRIP99003,EMP2287,Sales,CC-300,2024-01-07,AIR,BOM,DEL,J,6963.89,INR
TRIP30817,EMP1764,Operations,CC-200,2024-01-09,AIR,BOM,DEL,W,8047.22,INR
TRIP30593,EMP3300,Management,CC-100,2024-01-11,AIR,BOM,DEL,W,21882.51,INR
TRIP19278,EMP5564,Sales,CC-200,2024-01-13,AIR,DEL,BLR,Y,5092.38,INR
TRIP60564,EMP8006,Operations,CC-300,2024-01-15,AIR,DEL,BLR,Y,15878.79,INR
TRIP45854,EMP6076,Operations,CC-200,2024-01-17,AIR,DEL,BLR,W,18346.1,INR
TRIP25666,EMP8953,Management,CC-200,2024-01-19,AIR,BOM,DEL,J,5266.69,INR
TRIP36538,EMP9527,Sales,CC-100,2024-01-21,AIR,BOM,XYZ,Y,5276.87,INR
TRIP81190,EMP9321,Sales,CC-100,2024-01-22,AIR,BOM,XYZ,Y,8051.56,INR
TRIP59618,EMP5579,Operations,CC-200,2024-01-22,AIR,,,Y,10586.75,INR
TRIP30103,EMP5670,Management,CC-300,2024-01-23,AIR,BOM,DEL,X,19868.65,INR
TRIP65051,EMP6610,Sales,CC-100,2024-01-24,AIR,DEL,BLR,Y,-8000.0,INR
TRIP35307,EMP9837,Sales,CC-100,2024-01-25,AIR,BOM,SIN,Y,1500.0,ZAR
